,Cocktail Name,Ingredients,Garnish,Preparation,All Ingredients
474,TROPICAL BRONZER,"1.5 oz Aged Rum, 1 oz Luxardo Amaretto di Saschira, 1 oz Passion fruit puree, 2 oz Fresh lime sweet n' sour, 2 dash Bitters, 1 float Coconut foam",Coconut flakes,Shake the first five ingredients with ice then strain over fresh ice into a Collins or Tiki glass. Top with coconut foam.,"1.5 oz Aged Rum, 1 oz Luxardo Amaretto di Saschira, 1 oz Passion fruit puree, 2 oz Fresh lime sweet n' sour, 2 dash Bitters, 1 float Coconut foam,Coconut flakes"
475,PADOVA COLLINS,"1.5 oz Pear flavored Vodka, .75 oz Luxardo Limoncello, .25 oz Luxardo Sambuca dei Cesari, 1.5 oz Fresh sweet n' sour mix, 2 oz Lemon lime soda",Fresh pear,Shake the first four ingredients with ice then strain into a tall glass filled with ice and top with lemon lime soda. Stir and serve.,"1.5 oz Pear flavored Vodka, .75 oz Luxardo Limoncello, .25 oz Luxardo Sambuca dei Cesari, 1.5 oz Fresh sweet n' sour mix, 2 oz Lemon lime soda,Fresh pear"
476,BLACK JAM,"1.5 oz Luxardo Fernet, .75 oz Honey syrup, .75 oz Fresh lemon juice, 4 oz Tonic water",Lemon verbena sprig,"Shake the first three ingredients with ice then strain into a Collins glass and fill up with tonic water, stir and serve.","1.5 oz Luxardo Fernet, .75 oz Honey syrup, .75 oz Fresh lemon juice, 4 oz Tonic water,Lemon verbena sprig"
477,AMERICANA FIZZ (LAYERED COCKTAIL),"1.5 oz Junipero Gin, .75 oz Fresh Lemon Juice, .25 oz Simple Syrup, .75 oz The Genuine Curacao Liqueur Blue, .5 oz Luxardo Aperitivo,  splash Perrier Grapefruit","Luxardo Cherries, Blueberries","Shake the gin, lemon, and simple syrup ingredients together in a shaker to chill. Gently pour into a highball glass filled with ice and 3/4 oz Curacao Blue. Top the cocktail with 1/2 oz Luxardo Aperitivo. Add a splash of Perrier grapefruit and garnish with Luxardo Cherries and blueberries for color.","1.5 oz Junipero Gin, .75 oz Fresh Lemon Juice, .25 oz Simple Syrup, .75 oz The Genuine Curacao Liqueur Blue, .5 oz Luxardo Aperitivo,  splash Perrier Grapefruit,Luxardo Cherries, Blueberries"
478,DUTCH STORIES,"1.5 oz Genevieve Gin, .75 oz Luxardo Apricot Liqueur, .25 oz Luxardo Maraschino Liqueur, .5 oz Fresh lemon juice, 1 Tbsp Gooseberry Jam",Physalis(aka goose berry),"Shake the ingredients with ice, then strain into a chilled cocktail glass.","1.5 oz Genevieve Gin, .75 oz Luxardo Apricot Liqueur, .25 oz Luxardo Maraschino Liqueur, .5 oz Fresh lemon juice, 1 Tbsp Gooseberry Jam,Physalis(aka goose berry)"
479,STRIKE NO.3,"2 oz No.3 London Dry Gin, .5 oz St. Germaine Elderflower Liqueur, .5 oz Orgeat Syrup, .5 oz Fresh Lemon Juice",Luxardo Cherry,Shake the ingredients with ice. Strain into an old fashioned glass. Garnish with a Luxardo Cherry.,"2 oz No.3 London Dry Gin, .5 oz St. Germaine Elderflower Liqueur, .5 oz Orgeat Syrup, .5 oz Fresh Lemon Juice,Luxardo Cherry"
480,FINAL WARD,".75 oz Rye Whiskey, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lemon Juice",,Shake until very cold; double strain into a chilled cocktail glass. No garnish.,".75 oz Rye Whiskey, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lemon Juice,"
481,DERNIER MOT,".75 oz Rhum Agricole, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice",,Shake until very cold; double strain into a chilled cocktail glass. No garnish.,".75 oz Rhum Agricole, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice,"
482,THE ASTERISK,".75 oz Brandy, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lemon Juice",,Shake until very cold; double strain into a chilled cocktail glass. No garnish.,".75 oz Brandy, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lemon Juice,"
483,PHINEAS FLIP,"2 oz English Harbour Rum, .75 oz King's Ginger Liqueur, 1 whole Egg",,Shake vigorously. Strain into highball glass. Top with Ale. Grated nutmeg.,"2 oz English Harbour Rum, .75 oz King's Ginger Liqueur, 1 whole Egg,"
484,LUXARDO SLING,".25 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz No.3 London Dry Gin, .25 oz Grapefruit Juice, 1 fill Soda water",,"Shake well in a shaker, serve in a tumbler filled with ice. Top with soda water.",".25 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz No.3 London Dry Gin, .25 oz Grapefruit Juice, 1 fill Soda water,"
485,WHITE LADY,"2 oz Junipero Gin, .5 oz Luxardo Triplum (Triple Sec), .5 oz Lemon Juice, 1  Egg White",,"Shake well with cracked ice, then strain into a chilled cocktail glass.","2 oz Junipero Gin, .5 oz Luxardo Triplum (Triple Sec), .5 oz Lemon Juice, 1  Egg White,"
486,BLUE 88,"1.5 oz No.3 London Dry Gin, .25 oz Lemon Juice, .25 oz Pages Elderflower Syrup, .25 oz Tempus Fugit Liqueur de Violettes, .25 oz Luxardo Maraschino Liqueur",Luxardo Cherry,Shake well with lots of ice. Strain into cocktail glass.,"1.5 oz No.3 London Dry Gin, .25 oz Lemon Juice, .25 oz Pages Elderflower Syrup, .25 oz Tempus Fugit Liqueur de Violettes, .25 oz Luxardo Maraschino Liqueur,Luxardo Cherry"
487,CHERRIES ST. JAMES,"1.5 oz No.3 London Dry Gin, .25 oz Lemon Juice, .25 oz Pages Elderflower Syrup, .25 oz Luxardo Sangue Morlacco Cherry Liqueur, .25 oz Luxardo Maraschino Liqueur",Luxardo Cherry,Shake well with lots of ice. Strain into cocktail glass.,"1.5 oz No.3 London Dry Gin, .25 oz Lemon Juice, .25 oz Pages Elderflower Syrup, .25 oz Luxardo Sangue Morlacco Cherry Liqueur, .25 oz Luxardo Maraschino Liqueur,Luxardo Cherry"
488,BACHELOR'S BAIT,"2 oz Junipero Gin, 6 dash Grapefruit Shrub, 3 dash Orange Bitters, 1 dash Grenadine, 1  Egg White",,Shake with cracked ice and strain into a chilled cocktail glass.,"2 oz Junipero Gin, 6 dash Grapefruit Shrub, 3 dash Orange Bitters, 1 dash Grenadine, 1  Egg White,"
489,BOOMIN' GRANNY,"1.5 oz H by HINE, 1 oz Granny Smith Apple Juice, .5 oz Fresh Lime Juice, .5 oz Acacia Honey Syrup,  top Sparkling Wine",Granny Smith Apple Fan,Shake with ice and fine strain into a champagne flute. Top with sparkling wine and garnish with Granny Smith Apple fan.,"1.5 oz H by HINE, 1 oz Granny Smith Apple Juice, .5 oz Fresh Lime Juice, .5 oz Acacia Honey Syrup,  top Sparkling Wine,Granny Smith Apple Fan"
490,BASILWAY DAQUIRI,"1.5 oz Basil-Infused White Rum, .5 oz King's Ginger Liqueur, .25 oz Fresh Lime Juice, .25 oz Luxardo Maraschino Liqueur, 1 bsp, large Grapefruit Sorbet",Basil Leaf,Shake with ice and single strain into a coupe glass. Garnish with basil leaf.,"1.5 oz Basil-Infused White Rum, .5 oz King's Ginger Liqueur, .25 oz Fresh Lime Juice, .25 oz Luxardo Maraschino Liqueur, 1 bsp, large Grapefruit Sorbet,Basil Leaf"
491,THE PINK PUSSYCAT,"1.5 oz Pink Pigeon Rum, .5 oz FAIR Goji Berry Liqueur, .5 oz Noyeau de Poissy  B, .5 oz Cream, 5 dash Chocolate bitters",Toasted Marshmallow,Shake with ice and strain into a coupe glass. Garnish with a toasted marshmallow,"1.5 oz Pink Pigeon Rum, .5 oz FAIR Goji Berry Liqueur, .5 oz Noyeau de Poissy  B, .5 oz Cream, 5 dash Chocolate bitters,Toasted Marshmallow"
492,DOUBLE TROUBLE,"1.5 oz Junipero Gin, 1 oz Strawberry & Black Pepper Shrub*, .75 oz Hidalgo La Gitana Manzanilla Sherry, .5 oz Lemon Juice , few drops Peychaud's Bitters",Mint Leaf,"Shake with ice and strain into a footed pilsner glass. Add a few drops of bitters. Garnish with a mint leaf. 

*Strawberry & Black Pepper Shrub:
-- 1 cup Sliced Strawberries
-- 1 cup Granulated Sugar
-- 1 cup Champagne Vinegar
-- 1 handful of Black Balinese Peppers

Combine all ingredients in a medium bowl. Using a potato masher or a wooden spoon, mash the berries so they release their juices. Stir until the sugar has mostly dissolved and refrigerate overnight.
The next day, remove the mixture to a saucepan and heat gently over medium-low heat. Do not bring to a simmer--you simply want to heat the mixture to coax the sugar to dissolve.
Strain the shrub through a fine mesh strainer. If desired, strain again through a coffee filter. Refrigerate.","1.5 oz Junipero Gin, 1 oz Strawberry & Black Pepper Shrub*, .75 oz Hidalgo La Gitana Manzanilla Sherry, .5 oz Lemon Juice , few drops Peychaud's Bitters,Mint Leaf"
493,YAWKEY WAY ,"1.5 oz No.3 London Dry Gin, .5 oz Smith & Cross, .5 oz Strawberry juice, .5 oz Black tea syrup, .5 oz Lemon juice, 2 dashes Orange bitters",,Shake with ice and strain into an ice-filled collins glass.,"1.5 oz No.3 London Dry Gin, .5 oz Smith & Cross, .5 oz Strawberry juice, .5 oz Black tea syrup, .5 oz Lemon juice, 2 dashes Orange bitters,"
494,CREAM OF THE CROP,"1 oz Mezcal, 1 oz King's Ginger Liqueur, .75 oz Coconut Pistachio Puree*, .75 oz Lemon Juice",Candied Ginger,"Shake with ice in a mixing glass for about 15 seconds to properly chill. Double strain into a small fizz glass over ice.

*Coconut Pistachio Puree:
-- .5 lb Pistachios (toasted)
-- 1.5 lbs Sugar (144 oz.)
-- 11 oz Coconut Milk
-- 13 oz Water
-- 1 tsp Salt

Toast the pistachios at 250°F for 20 mins. Remove and put in a blender with sugar until well chopped. Combine all the ingredients in a pot and bring to a boil. Let simmer for 20 mins and then remove from the heat. Let cool and place in a large container. Let the mixture sit overnight then strain out the solids. Save the solids to spin in the ice cream maker (if you have one). Spin the solids and add the mixture back into the puree via chinois. Bottle, label and date the syrup (it will keep indefinitely if you freeze it).","1 oz Mezcal, 1 oz King's Ginger Liqueur, .75 oz Coconut Pistachio Puree*, .75 oz Lemon Juice,Candied Ginger"
495,HEMINGWAY DAIQUIRI,"1.5 oz Pink Pigeon Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur",Grapefruit Twist,Shake with ice in a mixing tin and double strain into a chilled cocktail coupe. Garnish with a grapefruit twist.,"1.5 oz Pink Pigeon Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur,Grapefruit Twist"
496,AMARETTO SOUR (MODERN),"2 oz Luxardo Amaretto di Saschira, 1 oz Fresh Squeezed Lemon Juice, .5 oz Pasteurized Egg White, 1, small scoop Lemon Sorbet","Luxardo Cherries, Fresh Lemon Zest",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,"2 oz Luxardo Amaretto di Saschira, 1 oz Fresh Squeezed Lemon Juice, .5 oz Pasteurized Egg White, 1, small scoop Lemon Sorbet,Luxardo Cherries, Fresh Lemon Zest"
497,AMARETTO SOUR,"2 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lemon Juice, .75 oz Simple Syrup, .5 oz Egg White","Luxardo Cherries, Fresh Lemon Zest",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,"2 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lemon Juice, .75 oz Simple Syrup, .5 oz Egg White,Luxardo Cherries, Fresh Lemon Zest"
498,RED LETTERS,".75 oz Bols Genever, .75 oz Luxardo Maraschino Liqueur, .75 oz Absinthe, .75 oz Lime Juice",,"Shake with ice, strain and pour into a chilled martini glass.",".75 oz Bols Genever, .75 oz Luxardo Maraschino Liqueur, .75 oz Absinthe, .75 oz Lime Juice,"
499,ALMOND BROTHER,"2 oz Reposado Tequila, .25 oz Luxardo Amaretto di Saschira, 1 tsp Luxardo Apricot Liqueur, .75 oz Lime Juice, .25 oz Luxardo Orgeat Syrup, .25 oz Maple Syrup",,"Shake with ice, strain into a coupe. No garnish.","2 oz Reposado Tequila, .25 oz Luxardo Amaretto di Saschira, 1 tsp Luxardo Apricot Liqueur, .75 oz Lime Juice, .25 oz Luxardo Orgeat Syrup, .25 oz Maple Syrup,"
500,FRENCH 33,"1.5 oz No.3 London Dry Gin, .75 oz Simple syrup, .75 oz Lime juice",Grapefruit twist,"Shake with ice, strain into flute, top with sparkling rose and a grapefruit twist.","1.5 oz No.3 London Dry Gin, .75 oz Simple syrup, .75 oz Lime juice,Grapefruit twist"
501,20TH CENTURY,"1.5 oz No.3 London Dry Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Tempus Fugit Creme de Cacao, .75 oz Fresh Lemon Juice",,Shake with ice. Strain into a chilled cocktail glass.,"1.5 oz No.3 London Dry Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Tempus Fugit Creme de Cacao, .75 oz Fresh Lemon Juice,"
502,VESPER,"2.25 oz No.3 London Dry Gin, .75 oz Hophead Vodka, .5 oz Tempus Fugit Kina L'Aero d'Or",Lemon peel,Shake with ice. Strain into chilled martini glass. Garnish with lemon peel.,"2.25 oz No.3 London Dry Gin, .75 oz Hophead Vodka, .5 oz Tempus Fugit Kina L'Aero d'Or,Lemon peel"
503,THE SENIORITA,"1.5 oz The Genuine Curacao Liqueur Orange, .5 oz Lime Juice, 1.5 oz Thai Coconut Milk, 2 dash Angostura Bitters, 1 float Gosslings 151 Rum","Luxardo Cherries, Mint Sprig",Shake with ice. Strain into rocks glass and top with crushed ice. Float 1 oz. of Gosslings 151 rum on top.  Garnish with mint and Luxardo Maraschino Cherries.,"1.5 oz The Genuine Curacao Liqueur Orange, .5 oz Lime Juice, 1.5 oz Thai Coconut Milk, 2 dash Angostura Bitters, 1 float Gosslings 151 Rum,Luxardo Cherries, Mint Sprig"
504,CHAMPS ÉLYSÉES,"2 oz H by HINE, .75 oz Lemon juice, .5 oz Green Chartreuse, .25 oz Simple syrup, 2 dash Angostura bitters",Lemon wheel,Shake with intent. Double strain in coupe. Garnish with lemon wheel.,"2 oz H by HINE, .75 oz Lemon juice, .5 oz Green Chartreuse, .25 oz Simple syrup, 2 dash Angostura bitters,Lemon wheel"
505,THE DOUBLE CROWN,"1.25 oz Compass Box Great King Street Glasgow Blend, .75 oz Lemon Juice, .5 oz Cyril Zangs Double Zero Eau de Vie de Cidre, .5 oz King's Ginger Liqueur, .5 oz Honey Syrup, 1  Egg White",Sage Leaf,"Shake without ice, add ice and shake again then fine strain into a chilled egg coupe. Garnish with a Sage leaf.","1.25 oz Compass Box Great King Street Glasgow Blend, .75 oz Lemon Juice, .5 oz Cyril Zangs Double Zero Eau de Vie de Cidre, .5 oz King's Ginger Liqueur, .5 oz Honey Syrup, 1  Egg White,Sage Leaf"
506,FLIP THE BIRD,"1.5 oz Pink Pigeon Rum, .75 oz Simple syrup, .75 oz Cream, .5 oz Punt e Mes, 1  Egg yolk",Cinnamon,"Shake without ice, to whip and emulsify ingredients until frothy. Add ice to shaker and shake vigorously. Strain into port glass or small fluted glass. Garnish with shaved cinnamon or nutmeg.
","1.5 oz Pink Pigeon Rum, .75 oz Simple syrup, .75 oz Cream, .5 oz Punt e Mes, 1  Egg yolk,Cinnamon"
507,MAURITIUS SOUR,".75 oz Pink Pigeon Rum, .75 oz Hirsch Small Batch Reserve Bourbon, .5 oz Angostura Bitters, .75 oz Lemon Juice, .75 oz Simple Syrup",Luxardo Cherry,"Shake, and fine strain into a chilled coupe, and garnish with a Luxardo Cherry.",".75 oz Pink Pigeon Rum, .75 oz Hirsch Small Batch Reserve Bourbon, .5 oz Angostura Bitters, .75 oz Lemon Juice, .75 oz Simple Syrup,Luxardo Cherry"
508,I'M ONLY HAPPY WHEN IT RAINS,"1 1/2 oz Old Potrero Straight Rye Whiskey, 3/4 oz Hirsh Pinot Noir Reduction, 1/4 oz Luxardo Sangue Morlacco Cherry Liqueur, 3/4 oz Lemon Juice ",,"Shake, double strain into a Burgundy Glass.","1 1/2 oz Old Potrero Straight Rye Whiskey, 3/4 oz Hirsh Pinot Noir Reduction, 1/4 oz Luxardo Sangue Morlacco Cherry Liqueur, 3/4 oz Lemon Juice ,"
509,MONET,"1.75 oz H by HINE, 1 oz BenRiach Madeira 15 YO, .5 oz Lemon Juice, .25 oz Briottet Creme de Banane, .25 oz Small Hand Foods Pineapple Gum Syrup",Lemon Twist,"Shake, fine strain into a chilled coupe. Garnish with lemon twist.","1.75 oz H by HINE, 1 oz BenRiach Madeira 15 YO, .5 oz Lemon Juice, .25 oz Briottet Creme de Banane, .25 oz Small Hand Foods Pineapple Gum Syrup,Lemon Twist"
510,HIPPI HILL,"1.5 oz Hophead Vodka, .75 oz King's Ginger Liqueur, .5 oz Lime Juice, .5 oz Cranberry Juice",Lime Wheel,"Shake, fine strain into chilled coupe. Garnish with lime wheel.","1.5 oz Hophead Vodka, .75 oz King's Ginger Liqueur, .5 oz Lime Juice, .5 oz Cranberry Juice,Lime Wheel"
511,BUSTER CRUSTA,"2 oz H by HINE, 1 oz Lemon Juice, .75 oz The Genuine Curacao Liqueur Orange, .5 oz Luxardo Maraschino Liqueur, .5 oz Small Hand Foods Gum Syrup, 1 bsp Luxardo Fernet",,"Shake, fine strain into chilled frosted coupe, float Fernet.","2 oz H by HINE, 1 oz Lemon Juice, .75 oz The Genuine Curacao Liqueur Orange, .5 oz Luxardo Maraschino Liqueur, .5 oz Small Hand Foods Gum Syrup, 1 bsp Luxardo Fernet,"
512,BIRD ON,".75 oz Tempus Fugit Creme de Menthe Glaciale, .75 oz Tempus Fugit Alessio Vermouth Bianco, .75 oz H by HINE, .375 oz Lemon Juice, .375 oz Lime Juice",Lemon Wedge,"Shake, serve on the rocks, garnish with a lemon wedge.",".75 oz Tempus Fugit Creme de Menthe Glaciale, .75 oz Tempus Fugit Alessio Vermouth Bianco, .75 oz H by HINE, .375 oz Lemon Juice, .375 oz Lime Juice,Lemon Wedge"
513,IRON TONIC,".75 oz Luxardo Maraschino Liqueur, .75 oz Genepy, .75 oz Luxardo Fernet, .75 oz Lime Juice, 1 float Tonic Water",,"Shake, strain into a chilled coupe, float tonic water.",".75 oz Luxardo Maraschino Liqueur, .75 oz Genepy, .75 oz Luxardo Fernet, .75 oz Lime Juice, 1 float Tonic Water,"
514,KING'S MEDICINE,"1.5 oz King's Ginger Liqueur, .75 oz Lemon Juice, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO",Lemon Twist,"Shake, strain into a chilled coupe. Garnish with lemon twist.","1.5 oz King's Ginger Liqueur, .75 oz Lemon Juice, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO,Lemon Twist"
515,WHERE'S THE ORGEAT?,"2 oz H by HINE, 1 oz Small Hand Foods Orgeat, .75 oz Lemon Juice, .5 oz Luxardo Apricot Liqueur, 3 dash Angostura Bitters",Lemon Twist,"Shake, strain into a chilled coupe. Garnish with lemon twist.","2 oz H by HINE, 1 oz Small Hand Foods Orgeat, .75 oz Lemon Juice, .5 oz Luxardo Apricot Liqueur, 3 dash Angostura Bitters,Lemon Twist"
516,FORTUNE & GLORY,"1.5 oz Chinaco Reposado Tequila, 1 oz Lime Juice, .5 oz H by HINE, .5 oz Small Hand Foods Orgeat, .5 oz Falernum, 2 dash Mole Bitters",Lime Wheel,"Shake, strain into a chilled coupe. Garnish with lime wheel.","1.5 oz Chinaco Reposado Tequila, 1 oz Lime Juice, .5 oz H by HINE, .5 oz Small Hand Foods Orgeat, .5 oz Falernum, 2 dash Mole Bitters,Lime Wheel"
517,PISCO PUNCH (ADAPTATION BY THE COMSTOCK SALOON),"1.5 oz BarSol Selecto Italia Pisco, .75 oz Small Hand Foods Pineapple Gum Syrup, .75 oz Lemon Juice, 3 dash Kaffir Tincture",Lemon Peel,"Shake, strain into a chilled flip glass with one cube. Garnish with lemon peel.","1.5 oz BarSol Selecto Italia Pisco, .75 oz Small Hand Foods Pineapple Gum Syrup, .75 oz Lemon Juice, 3 dash Kaffir Tincture,Lemon Peel"
518,CUPID'S CARRIER PIGEON,"1 oz No.3 London Dry Gin, 1 oz Velvet Falernum, .75 oz Pink Pigeon Rum, 1 oz Unfiltered Apple Juice, 1 oz Lime juice, 3 dash Angostura bitters",Mint Sprig,"Shake, strain into a Tiki glass over crushed ice and garnish with a large sprig of mint.

","1 oz No.3 London Dry Gin, 1 oz Velvet Falernum, .75 oz Pink Pigeon Rum, 1 oz Unfiltered Apple Juice, 1 oz Lime juice, 3 dash Angostura bitters,Mint Sprig"
519,THE FALL 75,"1 oz Junipero Gin, 1 oz Spiced kuri squash purée*, 2 dash Fresh lemon, 2 dash Honey syrup",,"Shake, strain into coupe glass. Top with sparkling wine and a sprig of lemon balm.","1 oz Junipero Gin, 1 oz Spiced kuri squash purée*, 2 dash Fresh lemon, 2 dash Honey syrup,"
520,KENTUCKY MAI TAI,"1 oz Mezcal, 1 oz Bourbon, .5 oz Lemon, .5 oz Peche de Vigne, .5 oz Cynar, .5 oz Orgeat, 4 dash Angostura Bitters","Mint Sprig, Cherry","Shake, strain over crushed ice in a highball. Garnish with a mint sprig and a cherry.","1 oz Mezcal, 1 oz Bourbon, .5 oz Lemon, .5 oz Peche de Vigne, .5 oz Cynar, .5 oz Orgeat, 4 dash Angostura Bitters,Mint Sprig, Cherry"
521,DRINK LAB #16,"2 oz Brandy, .75 oz Orgeat, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice, 10 drops Bittermens Burlesque Bitters",Lemon Twist,"Shake, strain, lemon twist garnish.","2 oz Brandy, .75 oz Orgeat, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice, 10 drops Bittermens Burlesque Bitters,Lemon Twist"
522,GREY ANCHOR,"2 oz Hophead Vodka, .75 oz Lime Juice, .5 oz St. Germaine Elderflower Liqueur, .25 oz Luxardo Maraschino Liqueur, 5 drops Bittercube Door County Hop Bitters",Lime Peel Twist,"Shake, strain, up, garnish.","2 oz Hophead Vodka, .75 oz Lime Juice, .5 oz St. Germaine Elderflower Liqueur, .25 oz Luxardo Maraschino Liqueur, 5 drops Bittercube Door County Hop Bitters,Lime Peel Twist"
523,PUMPKIN & PECAN,"2 oz H by HINE, .5 oz Toasted Pecan Syrup, .75 oz Lemon Juice, .5 oz Cynar, 1 bsp Spiced Pumpkin Butter, 2 dash Cinnamon Tincture",Orange Peel,Shake. Double strain. King cube. Orange peel garnish,"2 oz H by HINE, .5 oz Toasted Pecan Syrup, .75 oz Lemon Juice, .5 oz Cynar, 1 bsp Spiced Pumpkin Butter, 2 dash Cinnamon Tincture,Orange Peel"
524,THE RED ANCHOR,"1.75 oz Junipero Gin, .75 oz Lemon Juice, .5 oz Grapefruit Juice, .5 oz Tempus Fugit Kina L'Aero d'Or, .25 oz Ginger Syrup, .25 oz Simple Syrup (1.5 : 1)",Grapefruit Slice,Shake. Serve in small rocks glass with no ice. Grapefruit slice to garnish.,"1.75 oz Junipero Gin, .75 oz Lemon Juice, .5 oz Grapefruit Juice, .5 oz Tempus Fugit Kina L'Aero d'Or, .25 oz Ginger Syrup, .25 oz Simple Syrup (1.5 : 1),Grapefruit Slice"
525,HOLLAND HOUSE,"1 oz Genever, 1 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth, .5 oz Lemon Juice, .5 oz Pineapple Gomme Syrup","Lemon Peel, Pineapple",Shake. Serve up. Garnish with lemon peel/pineapple.,"1 oz Genever, 1 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth, .5 oz Lemon Juice, .5 oz Pineapple Gomme Syrup,Lemon Peel, Pineapple"
526,LAST SAMURAI,"1 oz Vodka, 1 oz Gin, 1 oz Luxardo Maraschino Liqueur, .5 oz Cointreau",Lime Wheel,Shake. Serve up. Garnish with lime wheel.,"1 oz Vodka, 1 oz Gin, 1 oz Luxardo Maraschino Liqueur, .5 oz Cointreau,Lime Wheel"
527,LONG DIVISION,"1.5 oz Tequila, 1 oz Luxardo Maraschino Liqueur, .5 oz Aperol, .25 oz Lime Juice",Lime Peel,Shake. Serve up. Top with sparkling rose. Garnish with lime peel.,"1.5 oz Tequila, 1 oz Luxardo Maraschino Liqueur, .5 oz Aperol, .25 oz Lime Juice,Lime Peel"
528,SIDECAR,"2 oz HINE Rare VSOP, .75 oz Mathilde Orange XO Liqueur, .75 oz Lemon Juice, 1 tsp Demerara Syrup (2:1)",Lime Twist,Shake. Strain into a coupe. Garnish with a lime twist.,"2 oz HINE Rare VSOP, .75 oz Mathilde Orange XO Liqueur, .75 oz Lemon Juice, 1 tsp Demerara Syrup (2:1),Lime Twist"
529,SPICED MARMALADE,"2 oz Junipero Gin, 1 bsp Orange marmalade, .5 oz Lemon juice, 1 oz Orange juice, .25 oz Simple syrup, 2 dash Orange bitters, 4  Cloves torched & muddled",Lemon twist,"shake/2strain/coupe

garnish lemon twist","2 oz Junipero Gin, 1 bsp Orange marmalade, .5 oz Lemon juice, 1 oz Orange juice, .25 oz Simple syrup, 2 dash Orange bitters, 4  Cloves torched & muddled,Lemon twist"
530,MEZCAL WITCH,"2 oz Mezcal, .75 oz Lime, .75 oz Strega, .75 oz Simple Syrup, 3-4  Cucumbers muddled, 3-4  Mint leaves, 1 pinch Salt",Cucumber slice,"shake/2xstrain/coupe

garnish cucumber slice","2 oz Mezcal, .75 oz Lime, .75 oz Strega, .75 oz Simple Syrup, 3-4  Cucumbers muddled, 3-4  Mint leaves, 1 pinch Salt,Cucumber slice"
531,ITALIAN MARGARITA,"1.5 oz Maestro Dobel Diamante Tequila, .5 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lime Juice, .25 oz Monin Cane Syrup",,Shaken and served over ice.,"1.5 oz Maestro Dobel Diamante Tequila, .5 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lime Juice, .25 oz Monin Cane Syrup,"
532,A BLOODY SHAME,"1.5 oz Vodka, .5 oz Luxardo Amaretto di Saschira, .75 oz Blood Orange Vanilla Mint Puree*, .75 oz Lime Juice",Lime Wheel,"Shaken and strained into a large coupe. Garnish with a dehydrated lime wheel soaked in Angostura Bitters.

*Blood Orange Vanilla Mint Puree:
-- 1 container Boiron Blood Orange Puree (34 oz.)
-- 39 grams Mint (stems and leaves)
-- 1 tsp Vanilla Extract
-- 30 oz White Sugar

Combine all the ingredients except the mint in a pot. 
Bring to a light simmer, stirring to incorporate everything.
Then add the mint and cook for 5 minutes, then remove the pot from the heat and strain through a chinois to remove the mint.
Label and date a container, then place in your fridge. Use within a week.","1.5 oz Vodka, .5 oz Luxardo Amaretto di Saschira, .75 oz Blood Orange Vanilla Mint Puree*, .75 oz Lime Juice,Lime Wheel"
533,FULL OF BOLOGNA,"1 oz C. Drouin Calvados Selection, 1 oz Luxardo Amaro Abano, .75 oz Pear Watercress Puree, .75 oz Lemon Juice",Mint Oil,Shaken and strained into a large coupe. Mint oil is house-made and used as a garnish.,"1 oz C. Drouin Calvados Selection, 1 oz Luxardo Amaro Abano, .75 oz Pear Watercress Puree, .75 oz Lemon Juice,Mint Oil"
